Site,Grp,FR.09,NIS.09,FR.17,NIS.17,PNIS.Prop,RD.09,RD.17,Lat,Long,Owner,Area.2007,Area.2017,Area.Change,RdDens.1KM,Conn,Invasive,Richness.09,PNIS.Tot,PNIS.T,FR.T,RD.T,Rich.T
ALBERT,1,3,0,3,0,0,0.212956894,0.212956894,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,0,0,-1
BEAR-A,1,3,0,3,0,0,0.212956894,0.212956894,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,0,0,14
BEAR-E,1,3,0,3,0,0,0.212956894,0.212956894,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,0,0,-1
BOULDER-E,1,3,0,3,0,0,0.212956894,0.212956894,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,0,0,25
BOULDER-W,1,3,0,3,0,0,0.212956894,0.212956894,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,0,0,15
CAMROSE,1,2,0,2,0,0,,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,0,0,-3
CEDAR,1,2,0,2,0,0,,,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,0,0,19
CHATTER,1,2,0,2,0,0,,,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,0,0,9
DEAN-E,1,3,0,3,0,0,0.212956894,0.212956894,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,0,0,8
DEAN-P,1,3,0,3,0,0,0.212956894,0.212956894,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,0,0,0
FKING-N,1,3,0,3,0,0,0.212956894,0.212956894,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,0,0,14
FKING-S,1,3,0,3,0,0,0.212956894,0.212956894,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,0,0,10
GARIBALDI-W,1,4,0,4,0,0,0.223824327,0.223824327,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,0,0,21
GONZALES,1,3,0,3,0,0,0.232553115,0.232553115,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,0,0,1
GORE,1,3,0,3,0,0,0.212956894,0.212956894,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,0,0,-2
HORTH,1,3,0,3,0,0,0.212956894,0.212956894,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,1,3,0,3,0,0,0.212956894,0.212956894,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,0,0,4
KNOCKAN-S,1,3,0,3,0,0,0.212956894,0.212956894,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,0,0,6
