Site Name,Code,RdDens.1KM,RdS,Conn,ConnS,Invasive,Inv_C,Area_07,Area_16,AreaC,Nat_07,NIS_07,Nat_16,NIS_16,Rich_07,Rich_16,NatC,NISC,RichC,FD_07,FD_16,RD_07,RD_16,FDC,RDC,FR_07,FR_16,FRC,Turnover,Diss
Albert Head Cadet Training Centre,ALBERT,8.44,1.126203617,109130.2,-0.285635929,Low,1,1.173,1.068,0.09,41,43,41,42,84,83,0,-0.023255814,-0.011904762,0.261736579,0.261216977,0.313956086,0.311555789,-0.001985207,-0.007645327,3.181818182,3.136363636,-0.014285714,0.278350515,0.1616766
Bear Hill Regional Park (A),BEAR-A,3.64,-0.394266295,50181.04,-0.388339936,None,0,2.146,1.824,0.15,47,31,53,39,78,92,0.127659574,0.258064516,0.179487179,0.243831269,0.248773735,0.319307993,0.318600956,0.020270024,-0.002214277,3,3.24,0.08,0.282828283,0.1647059
Bear Hill Regional Park (E),BEAR-E,3.93,-0.302404572,28970.14,-0.425294566,Low,1,4.477,3.639,0.19,62,34,63,32,96,95,0.016129032,-0.058823529,-0.010416667,0.242503467,0.246729174,0.317441029,0.31241362,0.017425346,-0.015837303,3.583333333,3.36,-0.062325581,0.309734513,0.1875
Boulderwood Rise (E),BOULDER-E,4.52,-0.115513478,25283.02,-0.43171844,None,0,1.73,1.68,0.03,53,41,64,55,94,119,0.20754717,0.341463415,0.265957447,0.256195506,0.246659547,0.314933804,0.309834639,-0.037221414,-0.016191228,3.458333333,4.28,0.237590361,0.348837209,0.2112676
Boulderwood Rise (W),BOULDER-W,10.17,1.674206315,27006.47,-0.428715764,None,0,1.113,1.067,0.04,50,29,52,42,79,94,0.04,0.448275862,0.189873418,0.241488118,0.253776933,0.308972416,0.320157118,0.050887864,0.036199678,3.083333333,3.291666667,0.067567568,0.38317757,0.2369942
Camrose Park,CAMROSE,1.97,-0.923263119,69018.49,-0.355520442,Low,1,1.477,1.104,0.25,20,46,20,43,66,63,0,-0.065217391,-0.045454545,0.269696249,0.273792823,0.332315765,0.334866792,0.015189582,0.007676515,3,2.75,-0.083333333,0.517241379,0.3488372
Cedar Hill Golf Course,CEDAR,3.58,-0.413272169,77929.92,-0.339994529,High,3,2.766,2.369,0.14,26,42,30,57,68,87,0.153846154,0.357142857,0.279411765,0.270385993,0.26977904,0.337911043,0.333844979,-0.002244766,-0.01203294,2.590909091,3.227272727,0.245614035,0.385416667,0.2387097
Chatterton Hill,CHATTER,2.14,-0.869413143,15888.79,-0.448085511,Med,2,1.223,1.089,0.11,30,54,39,54,84,93,0.3,0,0.107142857,0.268892999,0.262967865,0.326162518,0.326821967,-0.022035284,0.002021844,2.68,3,0.119402985,0.298076923,0.1797753
John Dean Provincial Park: Lauwelnew Trail,DEAN-E,7.95,0.97098898,17421.59,-0.445414994,High,3,0.725,0.725,0,55,27,58,33,82,91,0.054545455,0.222222222,0.109756098,0.243709289,0.239506578,0.316882289,0.311013729,-0.017244771,-0.018519684,3.166666667,3.375,0.065789474,0.32038835,0.1907514
John Dean Provincial Park: Pickles' Bluff,DEAN-P,9.85,1.572841654,17872.01,-0.444630251,High,3,0.769,0.769,0,60,25,64,35,85,99,0.066666667,0.4,0.164705882,0.248268012,0.24365339,0.316349694,0.308081222,-0.018587258,-0.026137127,3.333333333,3.56,0.068,0.427350427,0.2717391
Francis King Regional Park (N),FKING-N,1.74,-0.996118969,409167.9,0.2371039,None,0,1.355,0.987,0.27,54,26,56,34,80,90,0.037037037,0.307692308,0.125,0.250652083,0.26346905,0.323943833,0.320972702,0.051134494,-0.009171747,3.260869565,3.47826087,0.066666667,0.316831683,0.1882353
Francis King Regional Park (S),FKING-S,2.58,-0.730036735,2171374,3.307302463,None,0,1.202,1.202,0,52,29,61,41,81,102,0.173076923,0.413793103,0.259259259,0.248758464,0.252843916,0.321471629,0.315280266,0.016423372,-0.019259437,3.041666667,3.666666667,0.205479452,0.289719626,0.1693989
Garibaldi,GARIBALDI-W,1.08,-1.205183582,82461.15,-0.332100006,None,0,5.89,5.86,0.01,68,27,63,33,95,96,-0.073529412,0.222222222,0.010526316,0.254248919,0.253566453,0.311340237,0.308427227,-0.002684243,-0.009356356,3.913043478,3.44,-0.120888889,0.339130435,0.2041885
Gonzales Hill,GONZALES,2.22,-0.844071978,28234.75,-0.426575797,Low,1,1.312,1.101,0.16,37,58,36,57,95,93,-0.027027027,-0.017241379,-0.021052632,0.273474713,0.268631542,0.334626775,0.326393321,-0.017709761,-0.024604887,3.458333333,3.434782609,-0.006809848,0.379310345,0.2340426
Gore Park,GORE,6.1,0.384974535,39619.77,-0.406740278,High,3,1.548,1.34,0.13,62,39,69,47,101,116,0.112903226,0.205128205,0.148514851,0.250691512,0.251827527,0.315709462,0.309933851,0.004531527,-0.018294071,3.791666667,4.08,0.076043956,0.277777778,0.1612903
Horth Hill Regional Park,HORTH,2.89,-0.631839719,22215.26,-0.437063236,None,0,1.216,0.871,0.28,49,33,50,40,82,90,0.020408163,0.212121212,0.097560976,0.238777795,0.249407025,0.31249304,0.313331366,0.044515153,0.002682702,3.391304348,3.52173913,0.038461538,0.28,0.1627907
Knockan Hill Park (N),KNOCKAN-N,5.79,0.28677752,49476.64,-0.389567175,Med,2,3.185,2.88,0.1,54,57,53,58,111,111,-0.018518519,0.01754386,0,0.255221155,0.258123658,0.314978309,0.312787876,0.011372501,-0.006954236,3.76,4,0.063829787,0.330827068,0.1981982
Knockan Hill Park (S),KNOCKAN-S,4.35,-0.169363454,62155.21,-0.367477972,Low,1,1.27,1.109,0.13,39,58,43,58,97,101,0.102564103,0,0.041237113,0.263965415,0.255068682,0.32396952,0.309473447,-0.033704163,-0.044745175,3.32,3.583333333,0.079317269,0.37704918,0.2323232
Konukson,KONUKSON,8.31,1.085024224,70719.17,-0.352557437,None,0,0.595,0.565,0.05,33,40,41,38,73,79,0.242424242,-0.05,0.082191781,0.269019369,0.248518894,0.324096957,0.310969708,-0.076204459,-0.04050408,2.909090909,2.956521739,0.016304348,0.365591398,0.2236842
Konukson (A),KONUKSON-A,2.27,-0.82823375,72684.95,-0.349132563,None,0,0.178,0.134,0.25,27,45,30,29,72,59,0.111111111,-0.355555556,-0.180555556,0.267604031,0.260995407,0.328022199,0.325735871,-0.024695535,-0.00697004,2.857142857,2.318181818,-0.188636364,0.402439024,0.2519084
Layritz Park,LAYRITZ,2.08,-0.888419017,42008.72,-0.402578137,None,0,4.431,3.491,0.21,52,55,51,53,107,104,-0.019230769,-0.036363636,-0.028037383,0.255735491,0.266471938,0.314073417,0.322222621,0.041982625,0.025946811,3.833333333,3.666666667,-0.043478261,0.298387097,0.1792453
Little Mt Doug,LILDOUG,0.79,-1.297045306,254285.7,-0.032739173,High,3,8.815,8.815,0,61,45,57,54,106,111,-0.06557377,0.2,0.047169811,0.252982482,0.252881115,0.317362513,0.316983509,-0.000400687,-0.001194228,3.72,3.8,0.021505376,0.264,0.1520737
Moss Rock Park,MOSSROCK,7.64,0.872791965,51199.58,-0.386565387,Med,2,2.032,1.978,0.03,25,57,32,65,82,97,0.28,0.140350877,0.182926829,0.287827746,0.278085777,0.331787761,0.325362754,-0.033846526,-0.019364811,2.913043478,3.416666667,0.172885572,0.372727273,0.2290503
Peacock Park,PEACOCK,9.92,1.595015174,65664.79,-0.361363416,Low,1,1.146,1.034,0.1,21,50,25,63,71,88,0.19047619,0.26,0.23943662,0.265100287,0.256143676,0.327116968,0.316903356,-0.033785748,-0.031223119,2.85,3.380952381,0.186299081,0.326315789,0.1949686
Thetis Lake (Scafe (E)),SCAFE-E,5.43,0.172742276,881894,1.060709602,Low,1,5.028,5.028,0,64,35,76,42,99,118,0.1875,0.2,0.191919192,0.244795977,0.240319875,0.310970719,0.310484574,-0.018285032,-0.001563313,3.6,4.24,0.177777778,0.25,0.1428571
Thetis Lake (Scafe (W)),SCAFE-W,8.33,1.091359515,533719.8,0.454104093,None,0,1.843,1.649,0.11,47,29,48,34,76,82,0.021276596,0.172413793,0.078947368,0.247533737,0.242821786,0.315756295,0.308175949,-0.019035592,-0.02400695,2.875,3.083333333,0.072463768,0.263736264,0.1518987
Thetis Lake (Seymour (S)),SEYMOUR,3.44,-0.457619208,2342245,3.605001977,None,0,3.267,3.022,0.07,65,41,71,52,106,123,0.092307692,0.268292683,0.160377358,0.24991577,0.251791674,0.312286737,0.325499571,0.007506144,0.042309944,3.956521739,4.28,0.081758242,0.251908397,0.1441048
Thetis Lake (Mount Stewart),STEWART,0.69,-1.328721763,476104.7,0.353724349,None,0,6.524,5.833,0.11,70,35,76,49,105,125,0.085714286,0.4,0.19047619,0.241575547,0.245864454,0.310963716,0.316522089,0.017753899,0.017874667,3.84,4.36,0.135416667,0.257575758,0.1478261
Summit Park,SUMMIT,11.26,2.019479691,33108.48,-0.418084555,High,3,5.882,4.961,0.16,25,67,36,66,92,102,0.44,-0.014925373,0.108695652,0.277341335,0.265027552,0.332558492,0.307840084,-0.044399379,-0.074328003,3.083333333,3.48,0.128648649,0.369747899,0.2307692
Christmas Hill,XMAS,3.44,-0.457619208,65270.2,-0.36205089,High,3,8.721,8.721,0,50,62,60,69,112,129,0.2,0.112903226,0.151785714,0.269807723,0.262565468,0.326842158,0.32053772,-0.026842282,-0.019288937,3.72,4.5,0.209677419,0.337931034,0.2066116
