Site.Name,Code,RdDens.1KM,RdS,Conn,ConnS,Invasive,Inv_C,Area_07,Area_17,Nat_07,NIS_07,Nat_17,NIS_17,Rich_07,Rich_17,AreaC,NatC,NISC,RichC,RD_07,RD_17,RDC,Turnover
Albert Head Cadet Training Centre,ALBERT,8.44,1.126203617,109130.2,-0.285635929,Low,1,1.173,1.068,41,43,41,42,84,83,0.09,0,-0.023255814,-0.011904762,0.313956086,0.311555789,-0.007645327,0.278350515
Bear Hill Regional Park (A),BEAR-A,3.64,-0.394266295,50181.04,-0.388339936,None,0,2.146,1.824,47,31,53,39,78,92,0.15,0.127659574,0.258064516,0.179487179,0.319307993,0.318600956,-0.002214277,0.282828283
Bear Hill Regional Park (E),BEAR-E,3.93,-0.302404572,28970.14,-0.425294566,Low,1,4.477,3.639,62,34,63,32,96,95,0.19,0.016129032,-0.058823529,-0.010416667,0.317441029,0.31241362,-0.015837303,0.309734513
Boulderwood Rise (E),BOULDER-E,4.52,-0.115513478,25283.02,-0.43171844,None,0,1.73,1.68,53,41,64,55,94,119,0.03,0.20754717,0.341463415,0.265957447,0.314933804,0.309834639,-0.016191228,0.348837209
Boulderwood Rise (W),BOULDER-W,10.17,1.674206315,27006.47,-0.428715764,None,0,1.113,1.067,50,29,52,42,79,94,0.04,0.04,0.448275862,0.189873418,0.308972416,0.320157118,0.036199678,0.38317757
Camrose Park,CAMROSE,1.97,-0.923263119,69018.49,-0.355520442,Low,1,1.477,1.104,20,46,20,43,66,63,0.25,0,-0.065217391,-0.045454545,0.332315765,0.334866792,0.007676515,0.517241379
Cedar Hill Golf Course,CEDAR,3.58,-0.413272169,77929.92,-0.339994529,High,3,2.766,2.369,26,42,30,57,68,87,0.14,0.153846154,0.357142857,0.279411765,0.337911043,0.333844979,-0.01203294,0.385416667
Chatterton Hill,CHATTER,2.14,-0.869413143,15888.79,-0.448085511,Med,2,1.223,1.089,30,54,39,54,84,93,0.11,0.3,0,0.107142857,0.326162518,0.326821967,0.002021844,0.298076923
John Dean Provincial Park: Lauwelnew Trail,DEAN-E,7.95,0.97098898,17421.59,-0.445414994,High,3,0.725,0.725,55,27,58,33,82,91,0,0.054545455,0.222222222,0.109756098,0.316882289,0.311013729,-0.018519684,0.32038835
John Dean Provincial Park: Pickles' Bluff,DEAN-P,9.85,1.572841654,17872.01,-0.444630251,High,3,0.769,0.769,60,25,64,35,85,99,0,0.066666667,0.4,0.164705882,0.316349694,0.308081222,-0.026137127,0.427350427
Francis King Regional Park (N),FKING-N,1.74,-0.996118969,409167.9,0.2371039,None,0,1.355,0.987,54,26,56,34,80,90,0.27,0.037037037,0.307692308,0.125,0.323943833,0.320972702,-0.009171747,0.316831683
Francis King Regional Park (S),FKING-S,2.58,-0.730036735,2171374,3.307302463,None,0,1.202,1.202,52,29,61,41,81,102,0,0.173076923,0.413793103,0.259259259,0.321471629,0.315280266,-0.019259437,0.289719626
Garibaldi,GARIBALDI-W,1.08,-1.205183582,82461.15,-0.332100006,None,0,5.89,5.86,68,27,63,33,95,96,0.01,-0.073529412,0.222222222,0.010526316,0.311340237,0.308427227,-0.009356356,0.339130435
Gonzales Hill,GONZALES,2.22,-0.844071978,28234.75,-0.426575797,Low,1,1.312,1.101,37,58,36,57,95,93,0.16,-0.027027027,-0.017241379,-0.021052632,0.334626775,0.326393321,-0.024604887,0.379310345
